time,frequency,confidence
0.0000000000,292.9575438235,0.0723790228
0.0100000000,292.2619735861,0.3588311672
0.0200000000,291.6553947113,0.2642363310
0.0300000000,289.9638816479,0.0096756425
0.0400000000,286.9941470136,0.0318728238
0.0500000000,279.3300176160,0.0134706190
0.0600000000,266.9834548456,0.0256041083
0.0700000000,254.7754034170,0.0576691441
0.0800000000,263.3465568809,0.1599853039
0.0900000000,259.9038462270,0.5069739819
0.1000000000,259.8888715569,0.4020211101
0.1100000000,257.8822840059,0.2244518995
0.1200000000,236.8089794824,0.0774789676
0.1300000000,207.9779142798,0.0557773933
0.1400000000,189.1010564671,0.0443951897
0.1500000000,169.5061831341,0.0693518594
0.1600000000,154.2494515932,0.2545332909
0.1700000000,154.7200133623,0.5943997502
0.1800000000,155.2030234016,0.5743585825
0.1900000000,157.9095465035,0.3168979883
0.2000000000,160.6027147920,0.3034914732
0.2100000000,159.4118557386,0.5730985999
0.2200000000,154.2442237368,0.6045126319
0.2300000000,152.9536481988,0.6641687751
0.2400000000,153.0858457859,0.5451055765
0.2500000000,156.5740013824,0.3866285682
0.2600000000,158.4288832816,0.4002681673
0.2700000000,156.8175322899,0.0808299407
0.2800000000,156.2903510447,0.3542709351
0.2900000000,155.9244684914,0.0525116362
0.3000000000,156.0217756442,0.0562654436
0.3100000000,155.6863678195,0.0850451961
0.3200000000,155.5124956289,0.0195286628
0.3300000000,155.7697264097,0.1739549041
0.3400000000,154.6410930354,0.2439322323
0.3500000000,153.9656953121,0.1426465809
0.3600000000,156.5805783316,0.0238391962
0.3700000000,150.5905755675,0.0801302642
0.3800000000,140.6586845306,0.0707291886
0.3900000000,144.3502632293,0.1687675864
0.4000000000,144.7572294430,0.5137096643
0.4100000000,145.9481738305,0.3813667595
0.4200000000,150.7717047135,0.2665812969
0.4300000000,155.2067527674,0.3663040400
0.4400000000,160.2347230859,0.4079397917
0.4500000000,161.1940649743,0.3732345998
0.4600000000,161.6703091360,0.0994555280
0.4700000000,165.7784301501,0.0524175093
0.4800000000,167.4009972591,0.1339235157
0.4900000000,169.8723377361,0.1476929486
0.5000000000,175.5270616940,0.0347700007
0.5100000000,180.8699686310,0.2127139866
0.5200000000,186.4227461822,0.5836845636
0.5300000000,191.3615738640,0.6808381081
0.5400000000,195.3681362734,0.4599535465
0.5500000000,202.7490517618,0.1268447489
0.5600000000,204.3753299020,0.1273821443
0.5700000000,203.1404658239,0.1645126641
0.5800000000,198.3680647415,0.3923247755
0.5900000000,191.1391928529,0.2076409012
0.6000000000,187.9227992686,0.0764707327
0.6100000000,183.8964611514,0.3039037883
0.6200000000,179.0185882907,0.1282649785
0.6300000000,174.1724411166,0.2440774590
0.6400000000,163.4562362435,0.0554680340
0.6500000000,157.0428468296,0.1102698073
0.6600000000,154.9034345963,0.1693035662
0.6700000000,155.1794415079,0.1391340792
0.6800000000,174.3356143373,0.1198674068
0.6900000000,166.6368075706,0.1711157411
0.7000000000,160.4959164640,0.3461986780
0.7100000000,156.0427573648,0.4463891387
0.7200000000,154.2486643545,0.6509402394
0.7300000000,153.2308824887,0.7050483227
0.7400000000,154.0669411513,0.7608655691
0.7500000000,151.9953763308,0.5754026771
0.7600000000,150.1484732084,0.5254649520
0.7700000000,150.4661890984,0.4984043837
0.7800000000,153.6958957092,0.3993277252
0.7900000000,154.9432694039,0.3647815883
0.8000000000,156.9198118121,0.3785656989
0.8100000000,158.7330325078,0.5562912226
0.8200000000,155.8889919379,0.5955604315
0.8300000000,155.6673989667,0.2051618993
0.8400000000,138.8032490303,0.0803646073
